"category_id";"cat_seo_url";"name";"cat_img";"is_deleted";"created_date";"updated_date"
"1";"Venues";"Venues";"MWP-VENUE-PINK.png";"0";"2023-11-07 12:47:23";"2023-11-07 12:47:23"
"2";"Bridal-Wear";"Bridal Wear";"MWP-BRIDAL-WEAR-PINK.png";"0";"2023-11-07 12:47:25";"2023-11-07 12:47:25"
"3";"Groom-Wear";"Groom Wear";"MWP-GROOM-WEAR-PINK.png";"0";"2023-11-07 12:47:40";"2023-11-07 12:47:40"
"4";"Photographers";"Photographers";"MWP-PHOTOGRAPHER-PINK.png";"0";"2023-11-07 12:47:48";"2023-11-07 12:47:48"
"5";"Make-Up-Artists";"Make Up Artists";"MWP-MUA-PINK.png";"0";"2023-11-07 12:47:55";"2023-11-07 12:47:55"
"6";"Mehendi-Artists";"Mehendi Artists";"MWP-MEHENDI-ARTIST-PINK.png";"0";"2023-11-07 12:48:06";"2023-11-07 12:48:06"
"7";"Bridal-Jewellery";"Bridal Jewellery";"MWP-BRIDAL-WEAR-PINK.png";"0";"2023-11-07 12:48:13";"2023-11-07 12:48:13"
"8";"Decoration";"Decoration";"MWP-DECORATION-PINK.png";"0";"2023-11-07 12:48:20";"2023-11-07 12:48:20"
"9";"Gifts";"Gifts";"MWP-GIFTS-PINK.png";"0";"2023-11-07 12:48:32";"2023-11-07 12:48:32"
"10";"Catering";"Catering";"MWP-CATERING-PINK.png";"0";"2023-11-07 12:48:41";"2023-11-07 12:48:41"
"13";"Invitations";"Invitations";"MWP-INVITATION-PINK.png";"0";"2023-11-07 12:48:39";"2023-11-07 12:48:39"
